Location,Name,ID,,Health,,Phys Def | Dmg Neg,,Strike Def | Dmg Neg,,Slash Def | Dmg Neg,,Pierce Def | Dmg Neg,,Magic Def | Dmg Neg,,Fire Def | Dmg Neg,,Ltng Def | Dmg Neg,,Holy Def | Dmg Neg,,,Poison Resist,Rot Resist,Bleed Resist,Frost Resist,Sleep Resist,Madness Resist,Death Resist,,Bleed Dmg Taken,Frost Dmg Taken,Sleep Dmg Taken,Madness Dmg Taken,,Poise,,Part 1 Dmg Mult,Part 2 Dmg Mult,Part 3 Dmg Mult,Part 4 Dmg Mult,Part 5 Dmg Mult,Part 6 Dmg Mult,Part 7 Dmg Mult,Part 8 Dmg Mult,"""Weak Parts"" Dmg Mult"
Abandoned Cave,Cleanrot Knight (Sickle) [Boss],38001940,,2102,,109,10,109,10,109,35,109,0,109,20,109,-20,109,0,109,40,,534,Immune,326,326,237,Immune,Immune,,0.7,0.7,1,1,,65,,1,1,1,1,1,1,1,1,1.5
Abandoned Cave,Cleanrot Knight (Spear) [Boss],38000940,,2102,,109,10,109,10,109,35,109,0,109,20,109,-20,109,0,109,40,,534,Immune,326,326,237,Immune,Immune,,0.7,0.7,1,1,,65,,1,1,1,1,1,1,1,1,1.5
Abandoned Cave,Fungal Sorcerer,43858040,,389,,109,-10,109,-10,109,-10,109,-10,109,0,109,-40,109,0,109,0,,534,534,178,178,237,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Abandoned Cave,Fungal Sorcerer,43858140,,389,,109,-10,109,-10,109,-10,109,-10,109,0,109,-40,109,0,109,0,,534,534,178,178,237,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Abandoned Cave,Fungal Sorcerer,43858240,,389,,109,-10,109,-10,109,-10,109,-10,109,0,109,-40,109,0,109,0,,534,534,178,178,237,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Abandoned Cave,Rat,40800040,,389,,109,-10,109,-10,109,-40,109,-10,109,-20,109,-40,109,-20,109,-20,,326,326,178,237,178,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Academy Crystal Cave,Battlemage,37040020,,1427,,107,0,107,10,107,0,107,0,107,40,107,20,107,20,107,0,,176,176,235,235,235,Immune,Immune,,1,1,1,1,,65,,1,1,1,1,1,1,1,1,0.5
Academy Crystal Cave,Crystalian (Spear) [Boss],33501920,,1595,,107,91,107,10,107,93.5,107,93.5,107,94,107,94,107,94,107,94,,530,530,Immune,530,Immune,Immune,Immune,,1,0.7,1,1,,70,,1,1,1,1,1,1,1,1,1.5
Academy Crystal Cave,Crystalian (Spear) [Boss] [Cracked],33501920b,,1595,,107,10,107,10,107,35,107,35,107,40,107,40,107,40,107,40,,530,530,Immune,530,Immune,Immune,Immune,,1,0.7,1,1,,70,,1,1,1,1,1,1,1,1,1.5
Academy Crystal Cave,Crystalian (Staff) [Boss],33502920,,1595,,107,91,107,10,107,93.5,107,93.5,107,94,107,94,107,94,107,94,,530,530,Immune,530,Immune,Immune,Immune,,1,0.7,1,1,,70,,1,1,1,1,1,1,1,1,1.5
